weight_scheme,mechanism,score,reduction_pct
主权重,分阶段量化,0.38148768174258835,61.85123182574117
主权重,配置量分桶,0.5005111515082138,49.94888484917862
均匀权重,分阶段量化,0.43107352274673155,56.89264772532685
均匀权重,配置量分桶,0.5504944087265226,44.950559127347745
精确值直接暴露加权,分阶段量化,0.3233051420600486,67.66948579399514
精确值直接暴露加权,配置量分桶,0.4128708065448919,58.71291934551082
轨迹信息加权,分阶段量化,0.4892560624292712,51.074393757072876
轨迹信息加权,配置量分桶,0.6381347536898444,36.18652463101556
聚合重构加权,分阶段量化,0.5564977124258277,44.350228757417234
聚合重构加权,配置量分桶,0.6615178983301668,33.848210166983314
