iteration,rho,primal_residual,dual_residual,z_A,z_B,sum_f_A,sum_f_B,flow_s147_kton,flow_s158_kton,flow_s53_kton,flow_s61_kton,flow_s545_kton,flow_s36_kton,flow_s391_kton,flow_s455_kton,flow_s376_kton,flow_s65_kton,profit_CNY,dual_residual_is_zero,dual_residual_plot
26,0.1,0.04124999999998957,0.0010937499999990052,3.6512499999999903,4.498750000000015,3.692499999999985,4.54,1.88,1.14,0.4124999999999855,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60962699.999999896,0,0.0010937499999990052
27,0.1,0.02609374999998515,0.0015156249999996874,3.6360937500000006,4.513906250000019,3.66218749999999,4.54,1.88,1.14,0.3821874999999902,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60756574.99999993,0,0.0015156249999996874
28,0.1,0.005468750000010569,0.0020624999999981244,3.615468750000005,4.534531249999986,3.6209375000000126,4.54,1.88,1.14,0.3409375000000128,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60476075.00000009,0,0.0020624999999981244
29,0.1,0.007578124999996216,0.0013046875000007675,3.6024218750000045,4.547578125000001,3.594843750000013,4.54,1.88,1.14,0.31484375000001347,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60298637.50000009,0,0.0013046875000007675
30,0.1,0.010312500000001723,0.00027343749999886313,3.599687500000016,4.55031249999999,3.589375000000002,4.54,1.88,1.14,0.3093750000000024,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60261450.000000015,0,0.00027343749999886313
31,0.1,0.0065234374999816325,0.00037890624999974425,3.6034765625000063,4.546523437499985,3.596953125000028,4.54,1.88,1.14,0.3169531250000284,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60312981.25000019,0,0.00037890624999974425
32,0.1,0.0013671874999978684,0.0005156249999984652,3.608632812499991,4.541367187500001,3.6072656249999957,4.54,1.88,1.14,0.3272656249999962,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60383106.24999997,0,0.0005156249999984652
33,0.1,0.0018945312499778488,0.000326171874999659,3.6118945312500017,4.538105468750018,3.6137890624999756,4.54,1.88,1.14,0.33378906249997586,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60427465.624999836,0,0.000326171874999659
34,0.1,0.002578125000002096,6.835937500184742e-05,3.612578125000013,4.537421874999993,3.61515625000001,4.54,1.88,1.14,0.33515625000000987,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60436762.50000007,0,6.835937500184742e-05
35,0.1,0.0016308593750067324,9.47265625001137e-05,3.611630859375012,4.538369140624994,3.613261718750019,4.54,1.88,1.14,0.3332617187500196,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60423879.687500134,0,9.47265625001137e-05
36,0.1,0.0003417968750043521,0.00012890625000068213,3.610341796875005,4.539658203125001,3.6106835937500144,4.54,1.88,1.14,0.3306835937500144,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60406348.4375001,0,0.00012890625000068213
37,0.1,0.0004736328125027889,8.154296875062528e-05,3.609526367187499,4.540473632812507,3.609052734375,4.54,1.88,1.14,0.3290527343750007,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60395258.59375,0,8.154296875062528e-05
38,0.1,0.0006445312500060751,1.708984374886313e-05,3.6093554687500102,4.5406445312499955,3.6087109374999935,4.54,1.88,1.14,0.32871093749999397,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60392934.374999955,0,1.708984374886313e-05
39,0.1,0.00040771484375046185,2.3681640625028424e-05,3.6095922851562676,4.540407714843752,3.609184570312519,4.54,1.88,1.14,0.3291845703125198,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60396155.078125134,0,2.3681640625028424e-05
40,0.1,8.544921873054889e-05,3.222656250017053e-05,3.609914550781255,4.540085449218736,3.6098291015625303,4.54,1.88,1.14,0.32982910156253087,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60400537.89062521,0,3.222656250017053e-05
41,0.1,0.0001184082031171485,2.038574218730105e-05,3.6101184082031352,4.5398815917968705,3.61023681640624,4.54,1.88,1.14,0.3302368164062405,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60403310.35156243,0,2.038574218730105e-05
42,0.1,0.00016113281251461942,4.272460936505241e-06,3.610161132812493,4.539838867187498,3.6103222656250207,4.54,1.88,1.14,0.33032226562502104,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60403891.40625014,0,4.272460936505241e-06
43,0.1,0.00010192871093206435,5.920410157500555e-06,3.610101928710918,4.539898071289073,3.6102038574218556,4.54,1.88,1.14,0.33020385742185565,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60403086.230468616,0,5.920410157500555e-06
44,0.1,2.136230466076583e-05,8.056640623976818e-06,3.6100213623046926,4.539978637695327,3.6100427246093414,4.54,1.88,1.14,0.3300427246093414,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401990.52734352,0,8.056640623976818e-06
45,0.1,2.960205076796285e-05,5.096435545937084e-06,3.609970397949226,4.5400296020507795,3.6099407958984697,4.54,1.88,1.14,0.3299407958984706,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401297.4121096,0,5.096435545937084e-06
46,0.1,4.0283203129209966e-05,1.0681152339486744e-06,3.6099597167968938,4.540040283203126,3.6099194335937614,4.54,1.88,1.14,0.3299194335937622,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401152.14843758,0,1.0681152339486744e-06
47,0.1,2.548217771725092e-05,1.4801025400856815e-06,3.6099745178222804,4.540025482177711,3.609949035644557,4.54,1.88,1.14,0.3299490356445574,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401353.44238299,0,1.4801025400856815e-06
48,0.1,5.340576166634747e-06,2.0141601545731192e-06,3.6099946594238332,4.540005340576172,3.6099893188476724,4.54,1.88,1.14,0.32998931884767274,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401627.368164174,0,2.0141601545731192e-06
49,0.1,7.400512696875694e-06,1.2741088873724494e-06,3.6100074005127,4.539992599487292,3.610014801025385,4.54,1.88,1.14,0.33001480102538555,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401800.64697262,0,1.2741088873724494e-06
50,0.1,1.0070800788852807e-05,2.6702880688844744e-07,3.6100100708007687,4.539989929199223,3.610020141601569,4.54,1.88,1.14,0.33002014160156934,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401836.96289067,0,2.6702880688844744e-07
51,0.1,6.370544409772805e-06,3.7002563573196313e-07,3.6100063705444256,4.539993629455594,3.6100127410888394,4.54,1.88,1.14,0.3300127410888402,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401786.63940411,0,3.7002563573196313e-07
52,0.1,1.3351440393272185e-06,5.035400370445587e-07,3.610001335144048,4.539998664855958,3.6100026702880843,4.54,1.88,1.14,0.3300026702880847,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401718.15795898,0,5.035400370445587e-07
53,0.1,1.8501281693339422e-06,3.1852722059966254e-07,3.609998149871842,4.540001850128164,3.609996299743667,4.54,1.88,1.14,0.329996299743667,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401674.83825693,0,3.1852722059966254e-07
54,0.1,2.5177001776732766e-06,6.675720172211186e-08,3.6099974822998178,4.540002517700174,3.609994964599636,4.54,1.88,1.14,0.3299949645996369,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401665.75927753,0,6.675720172211186e-08
55,0.1,1.5926360990015098e-06,9.250640715663394e-08,3.6099984073638893,4.540001592636102,3.6099968147277934,4.54,1.88,1.14,0.32999681472779374,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401678.340149,0,9.250640715663394e-08
56,0.1,3.337860303709306e-07,1.2588500908350397e-07,3.6099996662139944,4.5400003337860255,3.609999332427959,4.54,1.88,1.14,0.3299993324279593,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401695.46051012,0,1.2588500908350397e-07
57,0.1,4.625320486617568e-07,7.963180550518701e-08,3.6100004625320423,4.539999537467963,3.610000925064103,4.54,1.88,1.14,0.3300009250641038,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401706.2904359,0,7.963180550518701e-08
58,0.1,6.29425043641163e-07,1.6689300252892282e-08,3.610000629425045,4.539999370574961,3.610001258850093,4.54,1.88,1.14,0.3300012588500935,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401708.560180634,0,1.6689300252892282e-08
59,0.1,3.981590230850429e-07,2.312660143388712e-08,3.6100003981590305,4.539999601840975,3.610000796318052,4.54,1.88,1.14,0.33000079631805185,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401705.41496275,0,2.312660143388712e-08
60,0.1,8.344650970215639e-08,3.147125156033326e-08,3.610000083446508,4.539999916553484,3.610000166893011,4.54,1.88,1.14,0.33000016689301165,0.0,0.26,0.86,3.68,0.0,0.0,0.0,60401701.13487248,0,3.147125156033326e-08
