iteration,primal_residual,dual_residual,z_a_kt,z_b_kt
1,4.075,0.20375,3.22,4.93
2,4.075,0,3.22,4.93
3,4.074999999999999,2.220446049250313e-17,3.220000000000001,4.93
4,4.074999999999999,0,3.220000000000001,4.93
5,4.074999999999999,0,3.220000000000001,4.93
6,4.074999999999999,0,3.220000000000001,4.93
7,4.074999999999999,0,3.220000000000001,4.93
8,4.074999999999999,2.220446049250313e-17,3.220000000000001,4.93
9,4.075,6.66133814775094e-17,3.220000000000001,4.929999999999999
10,3.905,0.001225842570820701,3.232258425708208,4.917741574291792
11,3.904999999999999,0.000925819116244786,3.241516616870656,4.908483383129345
12,3.904999999999999,0.0007160914845558253,3.248677531716214,4.901322468283786
13,3.414999999999999,0.003418763936015634,3.282865171076371,4.86713482892363
14,3.414999999999999,0.00279001580004723,3.310765329076844,4.839234670923158
15,2.67657579823744,0.006277259986459449,3.373537928941437,4.776462071058563
16,1.361844735596986,0.01067461383533885,3.480284067294826,4.669715932705174
17,1.293532506224018,0.009969852930526281,3.579982596600089,4.570017403399912
18,1.275,0.009028153343991119,3.67026413004,4.479735869960001
19,1.275,0.008137702248070245,3.751641152520703,4.398358847479298
20,1.275,0.007350028175705559,3.825141434277758,4.324858565722242
21,0.5750000000000002,0.002332794170832009,3.848469375986078,4.301530624013922
22,0.5749999999999995,0.002157654202365911,3.870045918009737,4.279954081990264
23,0.5749999999999991,0.001996990693727563,3.890015824947013,4.259984175052988
24,0.5750000000000004,0.001849499134990529,3.908510816296917,4.241489183703082
25,0.5749999999999993,0.001714002138437754,3.925650837681296,4.224349162318705
26,0.5750000000000002,0.001589436133104805,3.941545199012343,4.208454800987656
27,0.5749999999999997,0.001474839546479112,3.956293594477135,4.193706405522866
28,0.5749999999999993,0.001369342296740994,3.969987017444545,4.180012982555456
29,0.5213745762783268,0.001562472106444735,3.985611738508992,4.164388261491008
30,0.02298577155867565,0.0001358942217126291,3.986970680726118,4.163029319273882
31,0.001283676304322912,7.526591280759832e-06,3.987045946638926,4.162954053361075
32,7.109726048737386e-05,4.168652323111033e-07,3.987050115291249,4.162949884708752
