mechanism,default_score,default_reduction_pct,reasonable_grid_min_score,reasonable_grid_max_score,reasonable_grid_reduction_min_pct,reasonable_grid_reduction_max_pct,grid_definition
stagewise_quantization,0.3814876817,61.85123183,0.3632276609,0.4197486581,58.02513419,63.67723391,"hotspot share 0.10-0.30; capacity epsilon 0,1e-4,1e-3,1e-2 kt; aggregate normalization by collaborative upper bound, independent upper bound, or total capacity"
allocation_bucket_0p01,0.5005111515,49.94888485,0.4355606796,0.5302701276,46.97298724,56.44393204,"hotspot share 0.10-0.30; capacity epsilon 0,1e-4,1e-3,1e-2 kt; aggregate normalization by collaborative upper bound, independent upper bound, or total capacity"
